discovered_at,username,url,status,reason
2026-07-22T17:32:17+00:00,afriworkamharic,https://t.me/afriworkamharic,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,anilsiriti,https://t.me/anilsiriti,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,bersamabumn,https://t.me/bersamabumn,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,bta3sho8l,https://t.me/bta3sho8l,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,effoyjobs,https://t.me/effoyjobs,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,ethio_job_vacancy1,https://t.me/ethio_job_vacancy1,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,ethiojobs2000,https://t.me/ethiojobs2000,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,ethiojobsofficial,https://t.me/ethiojobsofficial,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,fanajobs,https://t.me/fanajobs,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,freelance_ethio,https://t.me/freelance_ethio,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,freshershunt,https://t.me/freshershunt,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,hahujobs,https://t.me/hahujobs,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,harmeejobs,https://t.me/harmeejobs,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,job4fresherss,https://t.me/job4fresherss,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,jobs_for_us,https://t.me/jobs_for_us,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,jobstargetm,https://t.me/jobstargetm,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,jops2015,https://t.me/jops2015,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,m_marketd,https://t.me/m_marketd,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,mymahabharti,https://t.me/mymahabharti,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,profenture,https://t.me/profenture,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,riyadhjobstoday,https://t.me/riyadhjobstoday,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,saudijobs24,https://t.me/saudijobs24,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,south_work,https://t.me/south_work,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,teleworksjobs,https://t.me/teleworksjobs,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,theyseeku,https://t.me/theyseeku,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,vacanciesbest,https://t.me/vacanciesbest,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,work4freshers,https://t.me/work4freshers,duplicate,already_in_sources
2026-07-22T17:32:17+00:00,aaaaae8g8cbkqlgx08d3eq,https://t.me/aaaaae8g8cbkqlgx08d3eq,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,apply,https://t.me/apply,rejected,not_public_or_deleted
2026-07-22T17:32:17+00:00,aaaaafn9xkvuvqdb9tegoa,https://t.me/aaaaafn9xkvuvqdb9tegoa,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,aaaaad4kuzgra,https://t.me/aaaaad4kuzgra,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,bd6sucrivhk0ywrk,https://t.me/bd6sucrivhk0ywrk,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,aaaaad9kxw8nm0bpqebz,https://t.me/aaaaad9kxw8nm0bpqebz,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,aaaaafhyn5x4h1xvelupgg,https://t.me/aaaaafhyn5x4h1xvelupgg,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,aaaaaefakekly2m0_yzgyg,https://t.me/aaaaaefakekly2m0_yzgyg,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,aaaaaeasrufoi,https://t.me/aaaaaeasrufoi,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,almustashaar,https://t.me/almustashaar,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,2zc1dhljjb9hzmiy,https://t.me/2zc1dhljjb9hzmiy,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,3ytkjxzligrmngux,https://t.me/3ytkjxzligrmngux,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,3ppwg0w9wf45owfi,https://t.me/3ppwg0w9wf45owfi,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,context,https://t.me/context,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,capfo4ns3efhytay,https://t.me/capfo4ns3efhytay,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,carlestnica,https://t.me/carlestnica,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,cr6rlf2ayfixowe6,https://t.me/cr6rlf2ayfixowe6,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,careersber,https://t.me/careersber,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,chollos,https://t.me/chollos,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,crosser_bot,https://t.me/crosser_bot,rejected,not_public_or_deleted
2026-07-22T17:32:17+00:00,eestekhdam_com,https://t.me/eestekhdam_com,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,ethio_chelsea,https://t.me/ethio_chelsea,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,errori_di_prezzo_spaziali,https://t.me/errori_di_prezzo_spaziali,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,ewdifh,https://t.me/ewdifh,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,eyadqunaibi,https://t.me/eyadqunaibi,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,dnepre_rabota,https://t.me/dnepre_rabota,accepted,accepted: https://t.me/dnepre_rabota/1465
2026-07-22T17:32:17+00:00,fargona_andijon_namangan1,https://t.me/fargona_andijon_namangan1,rejected,not_public_or_deleted
2026-07-22T17:32:17+00:00,football6_news,https://t.me/football6_news,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,freejobalertofficially,https://t.me/freejobalertofficially,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,biharhelp,https://t.me/biharhelp,accepted,accepted: https://t.me/biharhelp/19404
2026-07-22T17:32:17+00:00,ganpatsinghraj89,https://t.me/ganpatsinghraj89,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,gjsqedtr4ldlmgiy,https://t.me/gjsqedtr4ldlmgiy,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,gongqunnj,https://t.me/gongqunnj,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,government_jobs_sarkari_naukri,https://t.me/government_jobs_sarkari_naukri,rejected,no_recent_posts
2026-07-22T17:32:17+00:00,alsayed_ah,https://t.me/alsayed_ah,rejected,no_verified_video_vacancy
2026-07-22T17:32:17+00:00,bhainskipathshala,https://t.me/bhainskipathshala,rejected,no_verified_video_vacancy
2026-07-22T17:32:17+00:00,cd4cd,https://t.me/cd4cd,rejected,no_verified_video_vacancy
2026-07-22T17:32:17+00:00,hirelisting,https://t.me/hirelisting,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,dibai2025,https://t.me/dibai2025,accepted,accepted: https://t.me/dibai2025/33286
2026-07-22T17:32:17+00:00,concorsipubblicin,https://t.me/concorsipubblicin,rejected,no_verified_video_vacancy
2026-07-22T17:32:17+00:00,iim0ozxsir5lywyy,https://t.me/iim0ozxsir5lywyy,rejected,empty_or_unavailable
2026-07-22T17:32:17+00:00,crpacademy,https://t.me/crpacademy,rejected,no_verified_video_vacancy
2026-07-22T17:32:17+00:00,eduteriatestseries,https://t.me/eduteriatestseries,rejected,no_verified_video_vacancy
