checked_at,category,channel,reason
2026-07-22T17:32:17,media_production,https://t.me/production_jobs,empty_or_unavailable
2026-07-22T17:32:17,channels.txt,https://t.me/vakansii_reelsmaker,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/video_editor_jobs,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/capcut_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/kinopoisk_jobs,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/tiktok_jobs,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/shorts_work,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/producer_job,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/videomontage_work,empty_or_unavailable
2026-07-22T17:32:17,video_editing,https://t.me/reels_work,empty_or_unavailable
2026-07-22T17:32:17,channels.txt,https://t.me/real_video_client,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/after_effects_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/motion_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/podcast_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/videographer_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/postproduction_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/premiere_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/media_work,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/studio_jobs,empty_or_unavailable
2026-07-22T17:32:17,media_production,https://t.me/youtube_jobs,empty_or_unavailable
2026-07-22T17:32:17,verified_new_sources,https://t.me/video_editing_jobs,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/freelancehunt,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/freelance_taverna,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/workathome,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/freelance_ru,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/distantsiya,empty_or_unavailable
2026-07-22T17:32:17,freelance,https://t.me/jobfreelance,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/designer_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/creative_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/media_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/content_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/smm_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/creator_jobs,empty_or_unavailable
2026-07-22T17:32:17,creative_jobs,https://t.me/blogger_jobs,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/Finder_VC,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/workindeed,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/hh_vacancy,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/job_for_junior,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/work_remote,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/zarabotok,empty_or_unavailable
2026-07-22T17:32:17,remote_work,https://t.me/rabota_remote,empty_or_unavailable
